# x, f(x), root1, root2
-1.150375939849624274e+00,3.699248120300751452e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.065162907268170756e+00,3.869674185463658489e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.799498746867172372e-01,4.040100250626565526e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.947368421052637188e-01,4.210526315789472562e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-8.095238095238102005e-01,4.380952380952379599e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-7.243107769423566822e-01,4.551378446115286636e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-6.390977443609031639e-01,4.721804511278193672e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-5.538847117794496455e-01,4.892230576441100709e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.686716791979961272e-01,5.062656641604007746e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-3.834586466165426089e-01,5.233082706766914782e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.982456140350890905e-01,5.403508771929821819e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-2.130325814536355722e-01,5.573934837092728856e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.278195488721820539e-01,5.744360902255635892e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
-4.260651629072853552e-02,5.914786967418542929e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
4.260651629072498281e-02,6.085213032581449966e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.278195488721785011e-01,6.255639097744357002e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
2.130325814536320195e-01,6.426065162907264039e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
2.982456140350855378e-01,6.596491228070171076e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
3.834586466165390561e-01,6.766917293233078112e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
4.686716791979925745e-01,6.937343358395985149e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
5.538847117794460928e-01,7.107769423558892186e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
6.390977443608996111e-01,7.278195488721799222e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
7.243107769423531295e-01,7.448621553884706259e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
8.095238095238102005e-01,7.619047619047620401e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
8.947368421052637188e-01,7.789473684210527438e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
9.799498746867172372e-01,7.959899749373434474e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.065162907268170756e+00,8.130325814536341511e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.150375939849624274e+00,8.300751879699248548e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.235588972431077792e+00,8.471177944862155584e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.320802005012531311e+00,8.641604010025062621e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.406015037593984829e+00,8.812030075187969658e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.491228070175438347e+00,8.982456140350876694e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.576441102756891866e+00,9.152882205513783731e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.661654135338345384e+00,9.323308270676690768e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.746867167919798902e+00,9.493734335839597804e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.832080200501252421e+00,9.664160401002504841e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
1.917293233082705939e+00,9.834586466165411878e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
2.002506265664159457e+00,1.000501253132831891e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.087719298245612976e+00,1.017543859649122595e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.172932330827066494e+00,1.034586466165413299e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.258145363408520012e+00,1.051629072681704002e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.343358395989973531e+00,1.068671679197994706e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.428571428571427049e+00,1.085714285714285410e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.513784461152880567e+00,1.102756892230576113e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.598997493734334086e+00,1.119799498746866817e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.684210526315787604e+00,1.136842105263157521e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.769423558897241122e+00,1.153884711779448224e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.854636591478694641e+00,1.170927318295738928e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.939849624060148159e+00,1.187969924812029632e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.025062656641601677e+00,1.205012531328320335e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.110275689223055195e+00,1.222055137844611039e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.195488721804508714e+00,1.239097744360901743e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.280701754385962232e+00,1.256140350877192446e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.365914786967415750e+00,1.273182957393483150e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.451127819548872822e+00,1.290225563909774564e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.536340852130326340e+00,1.307268170426065268e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.621553884711779858e+00,1.324310776942355972e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.706766917293233377e+00,1.341353383458646675e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.791979949874686895e+00,1.358395989974937379e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.877192982456140413e+00,1.375438596491228083e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
3.962406015037593932e+00,1.392481203007518786e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.047619047619047450e+00,1.409523809523809490e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.132832080200500968e+00,1.426566416040100194e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.218045112781954487e+00,1.443609022556390897e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.303258145363408005e+00,1.460651629072681601e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.388471177944861523e+00,1.477694235588972305e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.473684210526315042e+00,1.494736842105263008e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.558897243107768560e+00,1.511779448621553712e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.644110275689222078e+00,1.528822055137844416e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.729323308270675597e+00,1.545864661654135119e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.814536340852129115e+00,1.562907268170425823e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
4.899749373433582633e+00,1.579949874686716527e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
